,Group,Adult_Expression
0,Syndromic,17.335051
1,Syndromic,7.443945374999999
2,Syndromic,1.592648625
3,Syndromic,11.215543749999998
4,Syndromic,56.682110875000006
5,Syndromic,6.5617016249999995
6,Syndromic,1.718223625
7,Syndromic,148.930422875
8,Syndromic,235.841978875
9,Syndromic,11.945207875
10,Syndromic,334.3875103750001
11,Syndromic,0.4798636250000001
12,Syndromic,2.73094475
13,Syndromic,1.7897178750000002
14,Syndromic,5.2537143125
15,Syndromic,41.38726737500001
16,Syndromic,10.526534250000001
17,Syndromic,12.228417375
18,Syndromic,29.209346875
19,Syndromic,4.78084875
20,Syndromic,33.950026124999994
21,Syndromic,40.087437125
22,Syndromic,10.693492625000001
23,Syndromic,11.079804625000001
24,Syndromic,30.760704999999998
25,Syndromic,40.409463875
26,Syndromic,18.81296475
27,Syndromic,3.1423258749999996
28,Syndromic,15.063670625
29,Syndromic,2.5819301250000004
30,Syndromic,8.407389875
31,Syndromic,11.1044015
32,Syndromic,7.325819875
33,Syndromic,79.149010375
34,Syndromic,32.4259595
35,Syndromic,4.25114725
36,Syndromic,41.24772337500001
37,Syndromic,27.875712874999998
38,Syndromic,12.744060500000002
39,Syndromic,6.039785375000001
40,Syndromic,162.86156675
41,Syndromic,8.6198895
42,Syndromic,6.613736875
43,Syndromic,1.9999725
44,Syndromic,3.4023875
45,Syndromic,37.59962637500001
46,Syndromic,13.2416975
47,Syndromic,6.930860375000001
48,Syndromic,6.355901125000001
49,Syndromic,84.073524125
50,Syndromic,12.609497000000001
51,Syndromic,4.3468585
52,Syndromic,21.423661
53,Syndromic,16.798108875
54,Syndromic,12.367409125
55,Syndromic,20.722455125
56,Syndromic,4.52294525
57,Syndromic,107.496528
58,Syndromic,4.5568610000000005
59,Syndromic,4.7239825
60,Syndromic,4.543334125
61,Syndromic,11.283711499999997
62,Syndromic,2.0182564999999997
63,Syndromic,64.105559
64,Syndromic,35.45157425000001
65,Syndromic,4.3515369999999995
66,Syndromic,7.083201000000001
67,Syndromic,18.347559125
68,Syndromic,14.496174499999999
69,Syndromic,53.555288250000004
70,Syndromic,42.63938825
71,Syndromic,5.912738624999999
72,Syndromic,20.016979375000002
73,Syndromic,19.130604875
74,Syndromic,25.284263624999998
75,Syndromic,1.11863625
76,Syndromic,7.865015125
77,Syndromic,9.943399249999999
78,Syndromic,14.67802075
79,Syndromic,3.559103875000001
80,Syndromic,10.517493125000001
81,Syndromic,30.862073875
82,Syndromic,4.964321625
83,Syndromic,95.08882487500001
84,Syndromic,28.78829225
85,Syndromic,7.963814875000001
86,Syndromic,9.361273125
87,Syndromic,263.30498562500003
88,Syndromic,34.40802562500001
89,Syndromic,28.291049125000004
90,Syndromic,7.6738345
91,Syndromic,8.597683250000001
92,Syndromic,17.33946125
93,Syndromic,3.533275375
94,Syndromic,8.613962375
95,Syndromic,18.489999124999997
96,Syndromic,5.010974750000001
97,Syndromic,9.97366575
98,Syndromic,1.755238
99,Syndromic,14.430939125
100,Syndromic,52.779935375
101,Syndromic,5.703564625000001
102,Syndromic,24.76640625
103,Syndromic,27.563480875000003
104,Syndromic,91.22665275
105,Syndromic,0.302157125
106,Syndromic,2.609568
107,Syndromic,28.969781291471964
108,Syndromic,5.055178344891186
0,Non-Syndromic,1.5477309999999997
1,Non-Syndromic,0.10967924999999999
2,Non-Syndromic,10.045817375
3,Non-Syndromic,0.05258112499999999
4,Non-Syndromic,12.624450500000002
5,Non-Syndromic,0.13678475
6,Non-Syndromic,0.029078999999999997
7,Non-Syndromic,2.9202495
8,Non-Syndromic,35.2924335
9,Non-Syndromic,0.294232125
10,Non-Syndromic,14.241269999999998
11,Non-Syndromic,0.39873825
12,Non-Syndromic,9.293744625
13,Non-Syndromic,0.033679125
14,Non-Syndromic,0.9293655
15,Non-Syndromic,0.07042837499999999
16,Non-Syndromic,4.814375249999999
17,Non-Syndromic,4.907264875
18,Non-Syndromic,0.349701875
19,Non-Syndromic,0.822472375
20,Non-Syndromic,4.6863723749999995
21,Non-Syndromic,5.708990625
22,Non-Syndromic,0.07289899999999999
23,Non-Syndromic,0.038296000000000004
24,Non-Syndromic,10.031060625
25,Non-Syndromic,42.056758625
26,Non-Syndromic,0.5576
27,Non-Syndromic,10.610977000000002
28,Non-Syndromic,16.534599375
29,Non-Syndromic,5.146788625
30,Non-Syndromic,0.052428375
31,Non-Syndromic,53.224063875000006
32,Non-Syndromic,4.827635375
33,Non-Syndromic,0.04616412499999999
34,Non-Syndromic,5.259035625
35,Non-Syndromic,95.75245050000001
36,Non-Syndromic,0.071408
37,Non-Syndromic,2.386464375
38,Non-Syndromic,9.25323075
39,Non-Syndromic,2.0079116249999998
40,Non-Syndromic,0.29472525000000005
41,Non-Syndromic,2.4044371250000003
42,Non-Syndromic,26.712303499999997
43,Non-Syndromic,3.3113555
44,Non-Syndromic,36.833665125
45,Non-Syndromic,8.627321250000001
46,Non-Syndromic,3.5494734999999995
47,Non-Syndromic,3.6686682499999996
48,Non-Syndromic,11.21160175
49,Non-Syndromic,3.006505375
50,Non-Syndromic,0.9872761250000001
51,Non-Syndromic,21.303664125000005
52,Non-Syndromic,5.207537375000001
53,Non-Syndromic,11.783454375
54,Non-Syndromic,3.859298875
55,Non-Syndromic,5.131624875000001
56,Non-Syndromic,9.246953000000001
57,Non-Syndromic,30.87525725
58,Non-Syndromic,1.1194152499999999
59,Non-Syndromic,12.267249125
60,Non-Syndromic,11.781992375000002
61,Non-Syndromic,7.588944
62,Non-Syndromic,3.129686875
63,Non-Syndromic,3.0274629999999996
64,Non-Syndromic,0.24943787500000003
65,Non-Syndromic,3.1486973750000002
66,Non-Syndromic,267.37538562500004
67,Non-Syndromic,4.2570387499999995
68,Non-Syndromic,33.781855375
69,Non-Syndromic,8.422407875000001
70,Non-Syndromic,7.08124825
71,Non-Syndromic,7.519582499999999
72,Non-Syndromic,2.2723165
73,Non-Syndromic,13.794563125000002
74,Non-Syndromic,5.67584225
75,Non-Syndromic,0.090710875
76,Non-Syndromic,0.131614125
77,Non-Syndromic,0.02976525
78,Non-Syndromic,6.580385875
79,Non-Syndromic,5.6668421250000005
80,Non-Syndromic,37.511116
81,Non-Syndromic,1.885978
82,Non-Syndromic,1.552439375
83,Non-Syndromic,0.039538250000000004
84,Non-Syndromic,10.135236875
85,Non-Syndromic,32.338524875000004
86,Non-Syndromic,6.3675485
87,Non-Syndromic,7.45582125
88,Non-Syndromic,43.959059875
89,Non-Syndromic,0.510914
90,Non-Syndromic,0.025542750000000003
91,Non-Syndromic,0.046237875
92,Non-Syndromic,10.6823705
93,Non-Syndromic,14.716406875
94,Non-Syndromic,0.743351625
95,Non-Syndromic,0.2696005
96,Non-Syndromic,1.408669125
97,Non-Syndromic,2.424107625
98,Non-Syndromic,5.60623975
99,Non-Syndromic,22.44854875
100,Non-Syndromic,9.525001249999999
101,Non-Syndromic,0.20844274999999998
102,Non-Syndromic,3.8320732499999997
103,Non-Syndromic,1.999041375
104,Non-Syndromic,1.5466174999999998
105,Non-Syndromic,4.967827999999999
106,Non-Syndromic,11.155217327830186
107,Non-Syndromic,2.821002451687689
