Age,ANKRD11,ARID1B,CHD1,CHD2,CHD3,CHD8,CNKSR2,DDX3X,DYRK1A,EHMT1,EP300,HNRNPU,KMT2A,KMT2C,MED13,MED13L,MTOR,PCCA,PHIP,RAI1,RALA,SLC6A1,SYNE1,TCF20,TCF4,TRIP12,TSC2,WAC,ZBTB20,mean,stderr
56.0,8.259205,8.938224,6.248851,4.5800405,56.183367000000004,12.983181,4.424471,63.968982999999994,18.020308,16.464631,7.796932000000001,100.09639399999999,7.497514,4.085319999999999,16.065329000000002,10.015731,11.595803,4.677857,28.314936,4.700687,39.265243,4.828973,6.440684,7.015307000000001,85.308278,27.137486,18.613395999999998,16.450066,0.201601,20.695820637931032,4.497494639804337
63.0,13.879833999999999,12.942461,9.463042,13.451287,123.199556,24.824443,5.640542,36.741603999999995,20.709424,12.49455,26.805522999999997,136.75796499999998,36.264537,12.658953,17.924838,14.336382999999998,14.362548,3.921311,47.767084999999994,14.892933,29.883759,6.167447,8.126133,24.787065,58.432311,22.278645,20.951145999999998,19.333779,1.3588719999999999,27.253723310344828,5.605517243051489
84.0,8.881558333333333,14.838980666666666,4.9133119999999995,6.8576076666666665,140.98911999999999,23.988377666666665,10.467224333333334,53.834001666666666,23.145741333333334,11.348851666666668,20.494027999999997,67.809661,15.346333000000001,12.376991333333335,18.174871666666665,30.694383999999996,10.266152666666668,1.6737403333333336,11.544702999999998,9.142417333333333,40.18985633333333,11.262689000000002,9.705643333333335,26.73078666666667,28.548152333333334,16.86811833333333,17.068293,15.520596000000003,0.181889,22.857382126436775,4.857916580608194
91.0,10.453459666666665,16.491930666666665,4.951079,7.439102833333333,157.571625,24.64924666666667,10.138094,36.154885666666665,20.396003,11.107879000000002,18.47248533333333,86.98370433333334,17.318102,12.316440333333333,15.957549,22.526308,11.662179666666667,2.4343873333333335,9.973496666666668,8.981788666666667,37.578828333333334,4.336068999999999,9.931533666666667,27.26182,30.85790666666667,15.528156000000001,18.12540033333333,16.973879666666665,0.251391,22.99395625862069,5.470918827155577
112.0,9.617028,11.700683666666668,5.425097,6.676966166666667,104.33150433333333,22.006816333333333,9.324294333333333,34.987248,18.836794333333334,10.780504,15.457053666666667,91.34746066666666,16.289248333333333,9.919370333333333,16.09593,19.963528333333333,10.892925666666665,3.3239316666666667,11.854360333333332,7.386865666666666,39.965149000000004,11.937618666666665,9.805712333333332,18.499545333333334,48.46911666666667,17.463995333333333,17.664598,16.80200866666667,0.490474,21.286752718390797,4.244073862812942
119.0,9.237093,11.988324,4.069829,7.4014455,114.242719,19.897129,12.960322,42.010837,18.11694,9.318634,14.713574,80.66481800000001,16.683282000000002,9.605805,11.533406,21.147838,11.552925,4.002281,5.982717,9.595608,39.84949,12.74757,11.526542999999998,21.721899,46.083909999999996,14.597614000000002,16.544220000000003,21.335242,0.14415,21.3543505,4.321002293007512
133.0,10.229791,10.044532,3.962071,8.288397499999999,132.692799,19.6391,10.439316999999999,35.492746999999994,17.711707,8.216467,10.203767,90.40454100000001,14.496489000000002,7.537858,9.683081,12.543650999999999,9.882288,4.904832,5.970134,6.902705,41.146357,9.595755,12.015291,17.928944,46.327098,14.910117999999999,17.06038,22.393779000000002,0.502274,21.073319672413795,4.978906625994775
147.0,9.827178499999999,12.553483500000002,4.4557590000000005,8.52714175,151.6616115,21.368775499999998,15.8875595,37.593835,18.3645285,6.810681,17.545746,90.1855955,16.759769,9.3548165,12.3755585,19.587781999999997,12.211296,3.879116,6.1253165,7.763787,53.5264535,18.353061500000003,16.409751,23.410923000000004,42.918254499999996,15.1756675,14.7737805,17.2143175,0.17463099999999998,23.613661267241383,5.455996418096332
154.0,7.0044509999999995,10.929358,3.088838,4.314178500000001,79.947048,17.044137,11.183481,40.959449,20.746816,8.826077,12.266572,71.334479,10.415023,6.525632,15.2563,13.635755,10.730383,3.7124410000000005,5.65126,5.400637000000001,61.423883999999994,23.480122,12.926172,14.651307999999998,58.192606000000005,15.143796,13.795128,19.791096,0.128599,19.94844918965517,3.7983702779323214
245.0,4.9979510000000005,6.586838,3.137794,11.1116125,62.70138000000001,10.537669000000001,4.223466,53.613471,20.291103,5.380719999999999,6.836550999999999,68.919095,6.993797,8.774332000000001,12.28749,8.146655,9.225388,4.285995,3.8605110000000002,2.323485,43.278282,51.021339000000005,17.35742,4.633829,44.207395,12.419293,13.179920000000001,19.131521,0.234371,17.920643913793104,3.5516933846285927
259.0,7.475160000000001,7.755851,2.050735,4.777168,75.380663,10.31135,20.637718,20.003375,16.846601,4.041762,6.304226,60.106182999999994,7.375869000000001,3.702693,7.876625,10.184459,6.688594,5.68761,3.802664,4.486343,48.345844,61.070425,19.364835,10.310457000000001,34.553466,14.200714999999999,8.947707000000001,22.443929,0.061048000000000005,17.40669224137931,3.522781486686196
388.0,10.681616333333332,7.219625666666666,2.3364203333333333,5.323774666666666,74.76241733333333,11.203600333333332,23.81716133333333,30.450568333333333,14.300862666666665,3.6535973333333334,8.382772333333333,56.99611633333333,6.504651,7.826908666666665,10.159423333333335,7.298483666666667,11.792994,5.040788,4.108580666666666,4.737789333333334,40.425027666666665,106.78799299999999,29.621795666666667,9.290030999999999,28.692964999999997,13.474945999999997,8.034195333333333,18.01288166666667,0.2528883333333333,19.35140949425287,4.281170602896385
448.0,8.521463,7.332264,3.4684510000000004,3.8925525,36.993655,7.6546970000000005,18.986373999999998,40.298992,30.648119,2.5171200000000002,6.4392,47.491283,4.501625,8.920689999999999,7.1765419999999995,5.398358999999999,7.705272999999999,2.6884259999999998,7.012897,1.196285,39.139154,70.304744,16.367239,7.253852999999999,39.482696999999995,17.233487,5.453998,31.200139,0.3342,16.745302706896553,3.1491599828214234
567.0,6.597010000000001,4.923366000000001,1.8519560000000002,3.9195659999999997,61.470319999999994,12.284293,20.960529,28.884775,16.9171,2.175891,3.592714,35.016946999999995,3.1638669999999998,3.241097,9.001033,4.398714,9.19829,6.3056779999999995,3.269882,3.247088,30.24649,26.564811,36.243763,5.828476,15.897086999999999,21.548576,12.657119999999999,22.291083999999998,0.13465,14.201109413793107,2.532559141199055
631.0,10.09056,7.199725999999999,2.025081,4.0624554999999996,57.814165,11.866478,37.536766,34.138905,13.674016,2.336307,9.687776,42.395948,6.7193320000000005,5.893608,9.997968,7.166027000000001,14.919042000000001,4.355752,4.00701,8.246533,28.929422,97.127379,37.070955,13.486579,20.379142,17.380642,7.556360000000001,17.486446,0.310971,18.409012120689656,3.706444844194096
997.0,9.210836,5.558868,2.729441,6.3183255,44.533981,8.650762,4.9688669999999995,36.857717,10.722333,6.982359,5.235932,57.538712,6.805051,8.619588,8.010332,5.173993,7.754904,7.430439999999999,7.240460000000001,3.0034560000000003,23.674086,95.206032,18.64957,4.353423,26.329014,16.97997,7.358128,25.411635,1.054458,16.288368051724138,3.631679651069638
1302.0,10.976822,6.815589999999999,2.519741,7.814965,47.107853999999996,14.361218,10.337207000000001,30.253391999999998,11.326874,5.634440000000001,13.201652,75.806855,11.13777,11.167457,10.093492999999999,7.614477000000001,14.318932,5.916188,5.4370449999999995,4.135055,27.964605,180.141754,44.222613,7.094457000000001,23.103895,19.774697,8.069332000000001,19.69618,1.395764,21.980700827586205,6.164944884711831
1727.0,7.813281,5.575476,1.886712,3.5693740000000003,25.658153,6.906977,17.086202,22.590876,19.005435000000002,2.335632,2.480994,33.378896999999995,4.0451440000000005,5.877244,5.611745,3.077297,7.991123,5.323875,4.746007,2.686436,18.004509,31.855771,22.968628,2.8397349999999997,16.577879,13.767972,7.854952000000001,28.333133,0.591043,11.394500068965517,1.779872618600973
3188.0,9.837406,6.497952,1.645613,3.8993569999999997,43.480742,8.081017,16.070892999999998,30.803459999999998,16.082201,3.212595,4.400503,35.254342,5.219494999999999,4.791908,7.451239,5.247249,9.338579,4.591113,3.6224339999999997,2.682251,20.847796,66.393947,19.570992,3.9320180000000002,17.710972,17.374809,9.353099,34.2448,0.522068,14.212443103448276,2.7064102228579388
3278.0,7.122782000000001,7.337846000000001,1.4743700000000002,3.2530375,27.1114,10.007605,35.807177,25.841294,17.446517,2.214094,11.722864999999999,27.053019,5.779758,4.299771,11.926808,6.368487,17.398256,3.7705620000000004,4.123872,6.613677,31.742619,67.462549,15.782551000000002,7.21276,17.662266,17.517274,10.450166000000001,18.011596,0.301967,14.579894672413792,2.500845744082679
4184.0,10.25259,7.36892,1.677239,3.759779,32.997267,10.184596,31.592399,33.200181,21.488912,2.388532,7.280419,32.842576,5.477572,5.441854,8.246064,6.04025,13.480545000000001,4.925421,3.711336,5.8836379999999995,24.647375,44.37048,31.967640000000003,8.18448,19.981172,18.466534,10.044210000000001,22.121412,0.29989,14.76976837931035,2.1857275361665294
5014.0,12.836535000000001,6.385823,1.990938,4.8743870000000005,39.036456,10.156547,33.661259,34.835855,14.548561999999999,2.8520630000000002,8.817648,55.341877000000004,7.111517999999999,5.678904,7.218414,6.386566999999999,11.908342999999999,3.827539,4.049544,7.628245,24.829366,114.71663500000001,31.095725,9.087448,16.573915,15.190309,8.803578,23.145982,0.210373,18.027598448275864,4.081602839347778
5745.0,12.313131,6.989938,1.500807,4.8070115,48.425823,10.519692,43.543968,29.797966,16.007241,2.1347650000000002,8.933075,37.137553000000004,6.968772,5.980282,7.732675,7.075392999999999,14.930782999999998,4.080636,3.479223,7.735580000000001,21.844226000000003,72.09657800000001,45.221748,12.538922,20.63889,20.742888,10.675332000000001,30.125753999999997,0.172346,17.729344775862067,3.094412516239033
6841.0,10.949067999999999,6.631034,1.800809,4.7639275,42.089366,10.045076,23.544262,30.147059000000002,13.641718,3.5929849999999997,8.774258999999999,44.777787,7.814398,6.7210600000000005,7.576795,7.108647,11.539275,5.443188,3.8196440000000003,4.47682,20.390775,173.133773,27.273637,6.835932000000001,19.49559,16.569154,9.031569000000001,27.699815,0.279932,19.171288086206893,5.697813990696871
7206.0,10.138442999999999,6.981327,1.5620399999999999,4.5685590000000005,40.97717,11.291056,34.046877,31.714677000000002,15.199597,2.5125330000000003,7.776483,38.295088,7.579408,4.516095,7.113103,6.668214999999999,14.977599,5.07554,3.2590830000000004,5.424933,17.803496,80.3666,36.556011,8.912608,17.361929,21.04066,10.702371000000001,31.647559,0.127498,16.69643303448276,3.096398638944688
7936.0,12.408375999999999,7.20887,1.7317599999999997,4.406251499999999,37.242742,11.779175,32.050773,34.62983,17.061667,2.355877,10.088776,43.522995,7.199033,6.405983999999999,9.668714,5.496844,12.682576,3.415023,4.975382,7.90297,25.026201999999998,70.33847800000001,30.515126000000002,10.544827,18.676988,22.068834,9.530945,22.908363,0.504803,16.63269601724138,2.794646821423656
8667.0,10.992764,6.592719000000001,2.321915,7.927148,61.243894,11.701532,20.648539000000003,29.872048,14.054265,3.274566,10.728539,55.193852,10.595278,9.754335000000001,8.660117,7.699214,13.325257,4.933375,5.949851,5.047743,21.631045999999998,144.94468500000002,42.721115000000005,8.802451,21.927132999999998,18.73552,10.206714,24.457685,0.70819,20.505223793103447,5.04392245323006
11224.0,14.206053,6.176273999999999,1.9673630000000002,5.2706545,43.756726,10.190845,31.150037,32.691239,12.488926,2.2890509999999997,6.5997699999999995,45.819334999999995,6.698036999999999,3.59819,5.354137000000001,5.070531,10.775016,4.399647,3.856607,5.98646,23.876423000000003,74.587216,31.634318,8.817894,12.832335,17.885192,10.505053,30.36562,0.07329,16.169732396551723,3.0471673236573316
13415.0,10.598492,6.437828,1.5889870000000001,4.6362345000000005,32.741193,9.462721,36.060712,30.803459999999998,18.05098,1.9566810000000001,9.836219999999999,34.912869,9.347064999999999,6.682269,5.897291,6.596856,13.250229999999998,4.375968,4.54898,7.81119,20.367821,82.848348,33.593796999999995,11.103048,19.80654,17.057525,9.690584,26.317451000000002,0.521011,16.444908672413792,3.0092894822601526
13780.0,10.204310000000001,6.658919,2.444534,7.056679,41.252026,13.244984,28.645923,27.814693,14.104404,2.418244,9.465626,41.068346999999996,13.590888,11.61311,7.075177,7.531632000000001,14.948582,3.3731800000000005,5.420584,5.821577,15.946028,99.76088100000001,39.395068,9.407956,17.060429,19.591720000000002,10.409522,26.278333,0.084694,17.644415517241377,3.50262164686952
14876.0,10.226844,5.806642,0.900335,3.4002605000000004,31.795021999999996,6.496885,27.527652000000003,28.412634000000004,15.907808,2.255504,3.989446,26.391514,6.135008999999999,3.6188519999999995,4.1015489999999994,4.675269999999999,9.377441000000001,5.438967,4.516541999999999,4.830216,15.094044,34.730618,33.575133,4.35675,11.554746000000002,14.971388000000001,9.712568,30.833021000000002,0.11783900000000001,12.439672396551726,2.001572401774751
