Group,Phe_No
Syndromic,29
Syndromic,23
Syndromic,67
Syndromic,33
Syndromic,95
Syndromic,43
Syndromic,35
Syndromic,157
Syndromic,7
Syndromic,309
Syndromic,134
Syndromic,18
Syndromic,35
Syndromic,51
Syndromic,36
Syndromic,48
Syndromic,326
Syndromic,60
Syndromic,115
Syndromic,25
Syndromic,31
Syndromic,7
Syndromic,89
Syndromic,93
Syndromic,14
Syndromic,129
Syndromic,180
Syndromic,32
Syndromic,24
Syndromic,256
Syndromic,109
Syndromic,32
Syndromic,6
Syndromic,37
Syndromic,63
Syndromic,6
Syndromic,12
Syndromic,50
Syndromic,13
Syndromic,287
Syndromic,47
Syndromic,9
Syndromic,235
Syndromic,1
Syndromic,190
Syndromic,84
Syndromic,29
Syndromic,34
Syndromic,154
Syndromic,36
Syndromic,49
Syndromic,117
Syndromic,53
Syndromic,44
Syndromic,58
Syndromic,144
Syndromic,313
Syndromic,100
Syndromic,30
Syndromic,63
Syndromic,173
Syndromic,79
Syndromic,95
Syndromic,17
Syndromic,33
Syndromic,1
Syndromic,12
Syndromic,298
Syndromic,40
Syndromic,66
Syndromic,328
Syndromic,24
Syndromic,148
Syndromic,21
Syndromic,104
Syndromic,64
Syndromic,110
Syndromic,37
Syndromic,9
Syndromic,53
Syndromic,126
Syndromic,249
Syndromic,85
Syndromic,22
Syndromic,183
Syndromic,308
Syndromic,18
Syndromic,12
Syndromic,6
Syndromic,98
Syndromic,182
Syndromic,221
Syndromic,10
Syndromic,103
Syndromic,10
Syndromic,196
Syndromic,265
Syndromic,69
Syndromic,45
Syndromic,28
Syndromic,117
Syndromic,5
Syndromic,1
Syndromic,34
Syndromic,55
Syndromic,13
Syndromic,32
Syndromic,38
Syndromic,71
Syndromic,79
Syndromic,56
Syndromic,41
Syndromic,151
Syndromic,117
Syndromic,56
Syndromic,64
Syndromic,89
Syndromic,75
Syndromic,50
Syndromic,49
Syndromic,6
Syndromic,63
Syndromic,27
Syndromic,186
Syndromic,507
Syndromic,335
Syndromic,52
Syndromic,309
Syndromic,169
Syndromic,13
Syndromic,258
Syndromic,51
Syndromic,139
Syndromic,217
Syndromic,114
Syndromic,37
Syndromic,28
Syndromic,67
Syndromic,357
Syndromic,167
Syndromic,281
Syndromic,161
Syndromic,203
Syndromic,7
Syndromic,75
Syndromic,188
Syndromic,186
Syndromic,305
Syndromic,299
Syndromic,111
Syndromic,141
Syndromic,50
Syndromic,57
Syndromic,218
Syndromic,367
Syndromic,298
Syndromic,52
Syndromic,80
Syndromic,66
Syndromic,47
Syndromic,30
Syndromic,188
Syndromic,222
Syndromic,83
Syndromic,188
Syndromic,28
Syndromic,84
Syndromic,54
Syndromic,221
Syndromic,175
Syndromic,7
Non-Syndromic,32
Non-Syndromic,15
Non-Syndromic,103
Non-Syndromic,4
Non-Syndromic,35
Non-Syndromic,38
Non-Syndromic,85
Non-Syndromic,45
Non-Syndromic,15
Non-Syndromic,95
Non-Syndromic,39
Non-Syndromic,82
Non-Syndromic,11
Non-Syndromic,51
Non-Syndromic,184
Non-Syndromic,30
Non-Syndromic,1
Non-Syndromic,25
Non-Syndromic,40
Non-Syndromic,23
Non-Syndromic,149
Non-Syndromic,84
Non-Syndromic,55
Non-Syndromic,137
Non-Syndromic,37
Non-Syndromic,455
Non-Syndromic,215
Non-Syndromic,61
Non-Syndromic,243
Non-Syndromic,92
Non-Syndromic,28
Non-Syndromic,4
Non-Syndromic,321
Non-Syndromic,417
Non-Syndromic,68
Non-Syndromic,6
Non-Syndromic,37
Non-Syndromic,42
Non-Syndromic,43
Non-Syndromic,18
Non-Syndromic,170
Non-Syndromic,127
Non-Syndromic,87
Non-Syndromic,2
Non-Syndromic,44
Non-Syndromic,11
Non-Syndromic,1
Non-Syndromic,32
Non-Syndromic,155
Non-Syndromic,121
Non-Syndromic,25
Non-Syndromic,375
Non-Syndromic,31
Non-Syndromic,31
Non-Syndromic,134
Non-Syndromic,287
Non-Syndromic,26
Non-Syndromic,51
Non-Syndromic,51
Non-Syndromic,200
Non-Syndromic,45
Non-Syndromic,28
Non-Syndromic,28
Non-Syndromic,48
Non-Syndromic,2
Non-Syndromic,45
Non-Syndromic,9
Non-Syndromic,81
Non-Syndromic,41
Non-Syndromic,21
Non-Syndromic,201
Non-Syndromic,6
Non-Syndromic,9
Non-Syndromic,82
Non-Syndromic,181
Non-Syndromic,37
Non-Syndromic,28
Non-Syndromic,49
Non-Syndromic,139
Non-Syndromic,11
Non-Syndromic,28
Non-Syndromic,1
Non-Syndromic,38
Non-Syndromic,50
Non-Syndromic,77
Non-Syndromic,39
Non-Syndromic,89
Non-Syndromic,6
Non-Syndromic,65
Non-Syndromic,16
Non-Syndromic,247
Non-Syndromic,31
Non-Syndromic,19
Non-Syndromic,75
Non-Syndromic,72
Non-Syndromic,75
Non-Syndromic,72
Non-Syndromic,45
Non-Syndromic,47
Non-Syndromic,4
Non-Syndromic,14
Non-Syndromic,154
Non-Syndromic,58
Non-Syndromic,19
Non-Syndromic,51
Non-Syndromic,78
Non-Syndromic,371
Non-Syndromic,6
Non-Syndromic,30
Non-Syndromic,19
Non-Syndromic,108
Non-Syndromic,181
Non-Syndromic,185
Non-Syndromic,169
Non-Syndromic,40
Non-Syndromic,76
Non-Syndromic,66
Non-Syndromic,28
Non-Syndromic,52
Non-Syndromic,181
Non-Syndromic,146
Non-Syndromic,115
Non-Syndromic,32
Non-Syndromic,25
Non-Syndromic,138
Non-Syndromic,56
Non-Syndromic,35
Non-Syndromic,267
Non-Syndromic,6
Non-Syndromic,102
Non-Syndromic,23
Non-Syndromic,141
Non-Syndromic,27
Non-Syndromic,17
Non-Syndromic,16
Non-Syndromic,35
Non-Syndromic,41
Non-Syndromic,190
Non-Syndromic,225
Non-Syndromic,115
Non-Syndromic,48
Non-Syndromic,19
Non-Syndromic,16
Non-Syndromic,5
Non-Syndromic,38
Non-Syndromic,16
Non-Syndromic,5
Non-Syndromic,1
Non-Syndromic,25
Non-Syndromic,278
Non-Syndromic,1
Non-Syndromic,41
Non-Syndromic,14
Non-Syndromic,34
Non-Syndromic,24
Non-Syndromic,32
Non-Syndromic,331
Non-Syndromic,39
Non-Syndromic,19
Non-Syndromic,60
Non-Syndromic,40
Non-Syndromic,145
Non-Syndromic,23
Non-Syndromic,32
Non-Syndromic,30
Non-Syndromic,18
Non-Syndromic,41
Non-Syndromic,1
Non-Syndromic,103
Non-Syndromic,6
Non-Syndromic,18
